relation,%_of_occurence,delete
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>,1.0,False
<http://dbpedia.org/ontology/populationTotal>,0.9916831523275061,True
<http://xmlns.com/foaf/0.1/name>,0.9101699705276757,False
<http://dbpedia.org/ontology/country>,0.7673099438814648,False
<http://dbpedia.org/ontology/subdivision>,0.7353950502644434,False
<http://dbpedia.org/ontology/areaTotal>,0.6739270862772013,False
<http://dbpedia.org/ontology/postalCode>,0.6476442327102426,False
<http://dbpedia.org/ontology/utcOffset>,0.6275990148976544,False
<http://dbpedia.org/ontology/timeZone>,0.6036376115305422,False
<http://dbpedia.org/ontology/elevation>,0.5984698615204489,False
<http://dbpedia.org/ontology/areaCode>,0.5881949210706932,False
<http://dbpedia.org/ontology/birthPlace?inv>,0.5466712422786548,False
<http://dbpedia.org/ontology/type>,0.48536477047922805,False
<http://dbpedia.org/ontology/location?inv>,0.37754854858896203,False
<http://xmlns.com/foaf/0.1/homepage>,0.3720981872501918,False
<http://dbpedia.org/ontology/city?inv>,0.331765513343292,False
<http://dbpedia.org/ontology/politicalLeader>,0.32455892446202916,False
<http://dbpedia.org/ontology/areaLand>,0.31460696838790425,False
<http://dbpedia.org/ontology/areaWater>,0.2970850660099318,False
<http://dbpedia.org/ontology/populationDensity>,0.2861035972384836,False
<http://dbpedia.org/ontology/deathPlace?inv>,0.27823085308248213,False
<http://dbpedia.org/ontology/populationAsOf>,0.14899672978319672,False
<http://dbpedia.org/ontology/residence?inv>,0.14112398562719528,False
<http://dbpedia.org/ontology/subdivision?inv>,0.12497476684565384,False
<http://dbpedia.org/ontology/routeStart?inv>,0.11367031369857483,False
<http://dbpedia.org/ontology/routeEnd?inv>,0.11350882151075942,False
<http://dbpedia.org/ontology/hometown?inv>,0.11114699826395898,False
<http://dbpedia.org/ontology/nearestCity?inv>,0.10900722677540474,False
<http://dbpedia.org/ontology/routeJunction?inv>,0.09943881464734143,False
<http://dbpedia.org/ontology/district>,0.0988130324195567,False
<http://www.w3.org/2000/01/rdf-schema#seeAlso>,0.09320117889297105,False
<http://dbpedia.org/ontology/headquarter?inv>,0.08991077556623199,False
<http://dbpedia.org/ontology/licenceNumber>,0.08970891033146272,False
<http://dbpedia.org/ontology/ground?inv>,0.08070572086075337,False
<http://dbpedia.org/ontology/governmentType>,0.07685009487666034,False
<http://dbpedia.org/ontology/foundingDate>,0.0752351729985062,False
<http://dbpedia.org/ontology/motto>,0.06816988978158181,False
<http://dbpedia.org/ontology/originalName>,0.06756429407727402,False
<http://xmlns.com/foaf/0.1/nick>,0.06485929993136583,False
<http://dbpedia.org/ontology/restingPlace?inv>,0.06128628527594977,False
