subject,target
<http://dbpedia.org/resource/'Anata>,9600.0
<http://dbpedia.org/resource/'Anin>,3719.0
<http://dbpedia.org/resource/A_Coruña>,244850.0
<http://dbpedia.org/resource/Aalborg>,140897.0
"<http://dbpedia.org/resource/Aalst,_Zaltbommel>",1986.0
<http://dbpedia.org/resource/Abapó>,3140.0
<http://dbpedia.org/resource/Abbasanta>,2719.0
<http://dbpedia.org/resource/Abbots_Langley>,19574.0
"<http://dbpedia.org/resource/Abbotsford,_Wisconsin>",2310.0
<http://dbpedia.org/resource/Abengourou>,135635.0
<http://dbpedia.org/resource/Abercynon>,6390.0
"<http://dbpedia.org/resource/Aberdeen,_Idaho>",1994.0
"<http://dbpedia.org/resource/Aberfeldy,_Perth_and_Kinross>",1895.0
<http://dbpedia.org/resource/Abergavenny>,12515.0
<http://dbpedia.org/resource/Abergele>,10577.0
"<http://dbpedia.org/resource/Abermain,_New_South_Wales>",2337.0
<http://dbpedia.org/resource/Abhayapuri>,14671.0
<http://dbpedia.org/resource/Abidjan>,3677115.0
"<http://dbpedia.org/resource/Abilene,_Kansas>",6844.0
<http://dbpedia.org/resource/Abilly>,1151.0
"<http://dbpedia.org/resource/Abington,_Massachusetts>",15985.0
<http://dbpedia.org/resource/Ablis>,3439.0
<http://dbpedia.org/resource/Abohar>,211645.0
<http://dbpedia.org/resource/Aboisso>,86115.0
<http://dbpedia.org/resource/Abondant>,2358.0
<http://dbpedia.org/resource/Abony>,15681.0
<http://dbpedia.org/resource/Abou_El_Hassen>,20164.0
<http://dbpedia.org/resource/Abrest>,2923.0
<http://dbpedia.org/resource/Abstatt>,4503.0
<http://dbpedia.org/resource/Abu_Ghraib>,189000.0
<http://dbpedia.org/resource/Aburi>,18701.0
<http://dbpedia.org/resource/Acapetahua>,27580.0
<http://dbpedia.org/resource/Acayucan>,83817.0
<http://dbpedia.org/resource/Aceitunas>,3098.0
<http://dbpedia.org/resource/Achacachi>,8857.0
<http://dbpedia.org/resource/Achern>,24512.0
<http://dbpedia.org/resource/Acocks_Green>,28378.0
<http://dbpedia.org/resource/Acquigny>,1531.0
"<http://dbpedia.org/resource/Acton,_California>",7596.0
"<http://dbpedia.org/resource/Acton,_London>",62480.0
"<http://dbpedia.org/resource/Acushnet_Center,_Massachusetts>",3073.0
"<http://dbpedia.org/resource/Adams,_Wisconsin>",1967.0
<http://dbpedia.org/resource/Adams_Morgan>,15830.0
<http://dbpedia.org/resource/Adderbury>,2819.0
<http://dbpedia.org/resource/Addis_Ababa>,3384569.0
"<http://dbpedia.org/resource/Adel,_Georgia>",5784936.0
<http://dbpedia.org/resource/Adelaide>,1345777.0
"<http://dbpedia.org/resource/Adelanto,_California>",31765.0
<http://dbpedia.org/resource/Adenau>,2904.0
<http://dbpedia.org/resource/Adigrat>,76400.0
<http://dbpedia.org/resource/Adjohoun>,60955.0
<http://dbpedia.org/resource/Ado_Ekiti>,424340.0
<http://dbpedia.org/resource/Adony>,3679.0
"<http://dbpedia.org/resource/Adrar,_Algeria>",64781.0
"<http://dbpedia.org/resource/Affton,_Missouri>",20307.0
<http://dbpedia.org/resource/Afif>,39581.0
"<http://dbpedia.org/resource/Afton,_Minnesota>",2886.0
<http://dbpedia.org/resource/Agadir>,452540.0
<http://dbpedia.org/resource/Agarakadzor>,1298.0
"<http://dbpedia.org/resource/Agat,_Guam>",4917.0
"<http://dbpedia.org/resource/Agua_Dulce,_California>",3342.0
"<http://dbpedia.org/resource/Agua_Fria,_New_Mexico>",2800.0
<http://dbpedia.org/resource/Aguas_Corrientes>,1047.0
<http://dbpedia.org/resource/Aguazul>,44381.0
<http://dbpedia.org/resource/Aguie>,270000.0
<http://dbpedia.org/resource/Ahaus>,38509.0
"<http://dbpedia.org/resource/Ahoskie,_North_Carolina>",5039.0
"<http://dbpedia.org/resource/Ahram,_Iran>",15198.0
"<http://dbpedia.org/resource/Ahwahnee,_California>",2246.0
<http://dbpedia.org/resource/Aichhalden>,4147.0
<http://dbpedia.org/resource/Ailigandí>,1842.0
<http://dbpedia.org/resource/Ain_Bni_Mathar>,16289.0
<http://dbpedia.org/resource/Ain_Leuh>,5278.0
<http://dbpedia.org/resource/Ain_Sifni>,16000.0
"<http://dbpedia.org/resource/Airdrie,_North_Lanarkshire>",37130.0
"<http://dbpedia.org/resource/Airway_Heights,_Washington>",6114.0
"<http://dbpedia.org/resource/Aitkenvale,_Queensland>",4790.0
"<http://dbpedia.org/resource/Aitkin,_Minnesota>",2165.0
<http://dbpedia.org/resource/Ajaokuta>,122321.0
<http://dbpedia.org/resource/Ajdovščina>,6676.0
<http://dbpedia.org/resource/Ajka>,29058.0
"<http://dbpedia.org/resource/Akabira,_Hokkaido>",10686.0
<http://dbpedia.org/resource/Akhalkalaki>,8295.0
<http://dbpedia.org/resource/Akhaltsikhe>,17903.0
<http://dbpedia.org/resource/Akim_Oda>,60604.0
<http://dbpedia.org/resource/Akividu>,24506.0
<http://dbpedia.org/resource/Akmenė_District_Municipality>,30300.0
<http://dbpedia.org/resource/Aknashen>,1479.0
<http://dbpedia.org/resource/Akora_Khattak>,47255.0
<http://dbpedia.org/resource/Akouda>,27200.0
"<http://dbpedia.org/resource/Akron,_Iowa>",1486.0
"<http://dbpedia.org/resource/Akron,_Pennsylvania>",3876.0
<http://dbpedia.org/resource/Aksakovo_Municipality>,21919.0
"<http://dbpedia.org/resource/Aksu,_Kazakhstan>",69354.0
<http://dbpedia.org/resource/Aktau>,190000.0
<http://dbpedia.org/resource/Akure>,484798.0
<http://dbpedia.org/resource/Akçaova>,2564.0
<http://dbpedia.org/resource/Al-Janiya>,1170.0
<http://dbpedia.org/resource/Al_Ain>,766936.0
<http://dbpedia.org/resource/Al_Diwaniyah>,650927.0
<http://dbpedia.org/resource/Al_Qubbah>,24631.0
<http://dbpedia.org/resource/Al_Wakrah>,87970.0
"<http://dbpedia.org/resource/Alabama,_New_York>",1869.0
"<http://dbpedia.org/resource/Alafaya,_Florida>",78113.0
<http://dbpedia.org/resource/Alagoinhas>,150832.0
<http://dbpedia.org/resource/Alahärmä>,4661.0
"<http://dbpedia.org/resource/Alamogordo,_New_Mexico>",30403.0
<http://dbpedia.org/resource/Alampra>,1140.0
"<http://dbpedia.org/resource/Alampur,_Madhya_Pradesh>",22000.0
"<http://dbpedia.org/resource/Aland,_Karnataka>",42371.0
<http://dbpedia.org/resource/Alandi>,28576.0
<http://dbpedia.org/resource/Alanganallur>,11078.0
<http://dbpedia.org/resource/Alausí>,5563.0
"<http://dbpedia.org/resource/Albanvale,_Victoria>",5491.0
"<http://dbpedia.org/resource/Albany,_New_York>",97856.0
"<http://dbpedia.org/resource/Albany,_Wisconsin>",1018.0
"<http://dbpedia.org/resource/Albany_Park,_Chicago>",52079.0
"<http://dbpedia.org/resource/Albion_Park,_New_South_Wales>",13316.0
<http://dbpedia.org/resource/Albrechtice_(Karviná_District)>,3848.0
"<http://dbpedia.org/resource/Alburtis,_Pennsylvania>",2361.0
<http://dbpedia.org/resource/Alcalde_Díaz>,41292.0
"<http://dbpedia.org/resource/Aldan,_Pennsylvania>",4152.0
<http://dbpedia.org/resource/Alderholt>,3171.0
"<http://dbpedia.org/resource/Aldershot,_Queensland>",1152.0
"<http://dbpedia.org/resource/Aldgate,_South_Australia>",3200.0
<http://dbpedia.org/resource/Aldingen>,7594.0
<http://dbpedia.org/resource/Aldona>,6320.0
"<http://dbpedia.org/resource/Aledo,_Illinois>",3640.0
"<http://dbpedia.org/resource/Ales,_Sardinia>",1410.0
<http://dbpedia.org/resource/Aleshtar>,33558.0
"<http://dbpedia.org/resource/Alexander_City,_Alabama>",14875.0
"<http://dbpedia.org/resource/Alexandra,_Victoria>",2695.0
"<http://dbpedia.org/resource/Alexandria,_Virginia>",139966.0
<http://dbpedia.org/resource/Alfdorf>,7271.0
"<http://dbpedia.org/resource/Alfords_Point,_New_South_Wales>",3109.0
<http://dbpedia.org/resource/Alfredo_Baquerizo_Moreno_(town)>,17512.0
<http://dbpedia.org/resource/Alfredo_Chaves>,14973.0
<http://dbpedia.org/resource/Algermissen>,8293.0
<http://dbpedia.org/resource/Algiers>,3915811.0
"<http://dbpedia.org/resource/Algoma,_Wisconsin>",3167.0
"<http://dbpedia.org/resource/Algonquin,_Maryland>",1241.0
<http://dbpedia.org/resource/Aliabad-e_Katul>,52838.0
<http://dbpedia.org/resource/Alibag>,20743.0
<http://dbpedia.org/resource/Aliwal_North>,3992.0
"<http://dbpedia.org/resource/All_Saints,_Antigua_and_Barbuda>",3900.0
<http://dbpedia.org/resource/Allada>,127512.0
"<http://dbpedia.org/resource/Allenby_Gardens,_South_Australia>",1868.0
"<http://dbpedia.org/resource/Allendale,_Solano_County,_California>",1506.0
"<http://dbpedia.org/resource/Allendale,_South_Carolina>",3482.0
"<http://dbpedia.org/resource/Allenstown,_New_Hampshire>",4322.0
<http://dbpedia.org/resource/Allerona>,1762.0
"<http://dbpedia.org/resource/Almedia,_Pennsylvania>",1078.0
"<http://dbpedia.org/resource/Almenara,_Minas_Gerais>",41552.0
"<http://dbpedia.org/resource/Aloha,_Oregon>",49425.0
<http://dbpedia.org/resource/Alotenango>,23986.0
"<http://dbpedia.org/resource/Alpine,_Utah>",9555.0
"<http://dbpedia.org/resource/Alston,_Cumbria>",1128.0
<http://dbpedia.org/resource/Alt_Duvenstedt>,1868.0
"<http://dbpedia.org/resource/Alta,_Iowa>",1883.0
<http://dbpedia.org/resource/Alta_Gracia>,48140.0
"<http://dbpedia.org/resource/Altamira,_Pará>",109938.0
